Pred_0,Pred_1,Pred_2,Pred_3,Pred_4,Pred_5,Pred_6,Pred_7,Pred_8,Pred_9,Pred_10,Pred_11,Pred_12,Pred_13,Pred_14,Pred_15,Pred_16,Pred_17,Pred_18,Pred_19,Pred_20,Pred_21,Pred_22,Pred_23,Pred_24,Pred_25,Pred_26,Pred_27,Pred_28,Pred_29,Pred_30,Pred_31,Pred_32,Pred_33,Pred_34,Pred_35,Pred_36,Pred_37,Pred_38,Pred_39,Pred_40,Pred_41,Pred_42,Pred_43,Pred_44,Pred_45,Pred_46,Pred_47,Pred_48,Pred_49,Pred_50,Pred_51,Pred_52,Pred_53,Actual_0,Actual_1,Actual_2,Actual_3,Actual_4,Actual_5,Actual_6,Actual_7,Actual_8,Actual_9,Actual_10,Actual_11,Actual_12,Actual_13,Actual_14,Actual_15,Actual_16,Actual_17,Actual_18,Actual_19,Actual_20,Actual_21,Actual_22,Actual_23,Actual_24,Actual_25,Actual_26,Actual_27,Actual_28,Actual_29,Actual_30,Actual_31,Actual_32,Actual_33,Actual_34,Actual_35,Actual_36,Actual_37,Actual_38,Actual_39,Actual_40,Actual_41,Actual_42,Actual_43,Actual_44,Actual_45,Actual_46,Actual_47,Actual_48,Actual_49,Actual_50,Actual_51,Actual_52,Actual_53,Adjust_0,Adjust_1,Adjust_2,Adjust_3,Adjust_4,Adjust_5,Adjust_6,Adjust_7,Adjust_8,Adjust_9,Adjust_10,Adjust_11,Adjust_12,Adjust_13,Adjust_14,Adjust_15,Adjust_16,Adjust_17,Adjust_18,Adjust_19,Adjust_20,Adjust_21,Adjust_22,Adjust_23,Adjust_24,Adjust_25,Adjust_26,Adjust_27,Adjust_28,Adjust_29,Adjust_30,Adjust_31,Adjust_32,Adjust_33,Adjust_34,Adjust_35,Adjust_36,Adjust_37,Adjust_38,Adjust_39,Adjust_40,Adjust_41,Adjust_42,Adjust_43,Adjust_44,Adjust_45,Adjust_46,Adjust_47,Adjust_48,Adjust_49,Adjust_50,Adjust_51,Adjust_52,Adjust_53,Pred_Sum,Actual_Sum,Adjust_Sum,Pred_Cost_Sum,Actual_Cost_Sum,Adjust_Cost_Sum
0,0,0,0,410.52,77.54,0,0,0,0,200.7,286.45,0,0,0,0,0,0,0,20,186.1,43.79,0,0,141.4,145.96,0,356.7,357.61,471.1,0,0,0,0,0,0,435.15,0,0,553.75,0,0,0,0,229.89,36.49,0,0,0,0,32.84,0,0,0,0,0,0,0,410.23,77.49,0,0,0,0,200.56,286.25,0,0,0,0,0,0,0,20,185.97,43.76,0,0,141.3,145.86,0,356.45,357.36,470.77,0,0,0,0,0,0,434.85,0,0,553.36,0,0,0,0,229.73,36.47,0,0,0,0,32.82,0,0,0,0,0,0,0,410.52,77.54,0,0,0,0,200.7,286.45,0,0,0,0,0,0,0,20,186.1,43.79,0,0,141.4,145.96,0,356.7,357.61,471.1,0,0,0,0,0,0,435.15,0,0,553.75,0,0,0,0,229.89,36.49,0,0,0,0,30.03774,0,0,0,3986.01,3983.21,3983.21,97915.98,97834.32,97835.4
0,0,0,0,409.94,77.43,0,0,0,0,200.41,286.05,0,0,0,0,0,0,0,20,185.84,43.73,0,0,141.2,145.76,0,356.19,357.1,470.43,0,0,0,0,0,0,434.53,0,0,552.96,0,0,0,0,229.57,36.44,0,0,0,0,32.8,0,0,0,0,0,0,0,409.86,77.42,0,0,0,0,200.38,285.99,0,0,0,0,0,0,0,20,185.8,43.72,0,0,141.17,145.73,0,356.12,357.03,470.34,0,0,0,0,0,0,434.45,0,0,552.85,0,0,0,0,229.52,36.43,0,0,0,0,32.79,0,0,0,0,0,0,0,409.94,77.43,0,0,0,0,200.41,286.05,0,0,0,0,0,0,0,20,185.84,43.73,0,0,141.2,145.76,0,356.19,357.1,470.43,0,0,0,0,0,0,434.53,0,0,552.187994,0,0,0,0,229.57,36.44,0,0,0,0,32.8,0,0,0,3980.38,3979.6,3979.6,97751.79,97729.22,97729.23
0,0,0,0,410.52,77.54,0,0,0,0,200.7,286.45,0,0,0,0,0,0,0,20,186.1,43.79,0,0,141.4,145.96,0,356.7,357.61,471.1,0,0,0,0,0,0,435.15,0,0,553.75,0,0,0,0,229.89,36.49,0,0,0,0,32.84,0,0,0,0,0,0,0,410.64,77.56,0,0,0,0,200.76,286.53,0,0,0,0,0,0,0,20,186.16,43.8,0,0,141.44,146,0,356.8,357.71,471.23,0,0,0,0,0,0,435.27,0,0,553.9,0,0,0,0,229.96,36.5,0,0,0,0,32.85,0,0,0,0,0,0,0,410.52,77.54,0,0,0,0,200.7,286.45,0,0,0,0,0,0,0,20,186.1,43.79,0,0,141.4,145.96,0,356.7,357.61,472.201102,0,0,0,0,0,0,435.15,0,0,553.75,0,0,0,0,229.89,36.49,0,0,0,0,32.84,0,0,0,3986.01,3987.12,3987.12,97915.98,97948.18,97948.19
0,0,0,0,409.94,77.43,0,0,0,0,200.41,286.05,0,0,0,0,0,0,0,20,185.84,43.73,0,0,141.2,145.76,0,356.19,357.1,470.43,0,0,0,0,0,0,434.53,0,0,552.96,0,0,0,0,229.57,36.44,0,0,0,0,32.8,0,0,0,0,0,0,0,409.97,77.44,0,0,0,0,200.43,286.07,0,0,0,0,0,0,0,20,185.85,43.73,0,0,141.21,145.77,0,356.22,357.13,470.46,0,0,0,0,0,0,434.56,0,0,553,0,0,0,0,229.58,36.44,0,0,0,0,32.8,0,0,0,0,0,0,0,409.94,77.43,0,0,0,0,200.41,286.05,0,0,0,0,0,0,0,20,185.84,43.73,0,0,141.2,145.76,0,356.19,357.1,470.43,0,0,0,0,0,0,434.81,0,0,552.96,0,0,0,0,229.57,36.44,0,0,0,0,32.8,0,0,0,3980.38,3980.65,3980.65,97751.79,97759.79,97759.79
0,0,0,0,409.94,77.43,0,0,0,0,200.41,286.05,0,0,0,0,0,0,0,20,185.84,43.73,0,0,141.2,145.76,0,356.19,357.1,470.43,0,0,0,0,0,0,434.53,0,0,552.96,0,0,0,0,229.57,36.44,0,0,0,0,32.8,0,0,0,0,0,0,0,409.88,77.42,0,0,0,0,200.39,286.01,0,0,0,0,0,0,0,20,185.81,43.72,0,0,141.18,145.74,0,356.14,357.05,470.36,0,0,0,0,0,0,434.48,0,0,552.89,0,0,0,0,229.54,36.43,0,0,0,0,32.79,0,0,0,0,0,0,0,409.94,77.43,0,0,0,0,200.41,286.05,0,0,0,0,0,0,0,20,185.84,43.73,0,0,141.2,145.76,0,356.19,357.1,470.43,0,0,0,0,0,0,434.53,0,0,552.43,0,0,0,0,229.57,36.44,0,0,0,0,32.8,0,0,0,3980.38,3979.84,3979.84,97751.79,97736.21,97736.21
0,0,0,0,410.52,77.54,0,0,0,0,200.7,286.45,0,0,0,0,0,0,0,20,186.1,43.79,0,0,141.4,145.96,0,356.7,357.61,471.1,0,0,0,0,0,0,435.15,0,0,553.75,0,0,0,0,229.89,36.49,0,0,0,0,32.84,0,0,0,0,0,0,0,410.64,77.56,0,0,0,0,200.76,286.53,0,0,0,0,0,0,0,20,186.16,43.8,0,0,141.44,146,0,356.8,357.71,471.23,0,0,0,0,0,0,435.27,0,0,553.9,0,0,0,0,229.96,36.5,0,0,0,0,32.85,0,0,0,0,0,0,0,410.52,77.54,0,0,0,0,200.7,286.45,0,0,0,0,0,0,0,20,186.1,43.79,0,0,141.4,145.96,0,356.7,357.61,472.191102,0,0,0,0,0,0,435.15,0,0,553.75,0,0,0,0,229.89,36.49,0,0,0,0,32.84,0,0,0,3986.01,3987.11,3987.11,97915.98,97947.89,97947.9
0,0,0,0,410.52,77.54,0,0,0,0,200.7,286.45,0,0,0,0,0,0,0,20,186.1,43.79,0,0,141.4,145.96,0,356.7,357.61,471.1,0,0,0,0,0,0,435.15,0,0,553.75,0,0,0,0,229.89,36.49,0,0,0,0,32.84,0,0,0,0,0,0,0,410.56,77.55,0,0,0,0,200.72,286.48,0,0,0,0,0,0,0,20,186.12,43.79,0,0,141.41,145.98,0,356.73,357.64,471.14,0,0,0,0,0,0,435.19,0,0,553.8,0,0,0,0,229.91,36.49,0,0,0,0,32.84,0,0,0,0,0,0,0,410.52,77.54,0,0,0,0,200.7,286.45,0,0,0,0,0,0,0,20,186.1,43.79,0,0,141.4,145.96,0,356.7,357.61,471.441102,0,0,0,0,0,0,435.15,0,0,553.75,0,0,0,0,229.89,36.49,0,0,0,0,32.84,0,0,0,3986.01,3986.36,3986.36,97915.98,97926.05,97926.05
0,0,0,0,409.51,77.35,0,0,0,0,200.21,285.75,0,0,0,0,0,0,0,20,185.65,43.68,0,0,141.06,145.61,0,355.82,356.74,469.94,0,0,0,0,0,0,434.08,0,0,552.39,0,0,0,0,229.33,36.4,0,0,0,0,32.76,0,0,0,0,0,0,0,409.54,77.36,0,0,0,0,200.22,285.77,0,0,0,0,0,0,0,20,185.66,43.68,0,0,141.06,145.61,0,355.85,356.76,469.97,0,0,0,0,0,0,434.11,0,0,552.43,0,0,0,0,229.34,36.4,0,0,0,0,32.76,0,0,0,0,0,0,0,409.5143,77.35,0,0,0,0,200.21,286.004015,0,0,0,0,0,0,0,20.000008,185.65,43.68,0,0,141.06,145.61,0,355.82,356.74,469.94,0,0,0,0,0,0,434.08,0,0,552.39,0,0,0,0,229.33,36.4,0,0,0,0,32.76,0,0,0,3976.28,3976.54,3976.54,97632.73,97640.16,97640.16
0,0,0,0,408.85,77.23,0,0,0,0,199.88,285.29,0,0,0,0,0,0,0,20,185.35,43.61,0,0,140.83,145.37,0,355.24,356.15,469.18,0,0,0,0,0,0,433.38,0,0,551.49,0,0,0,0,228.96,36.34,0,0,0,0,32.71,0,0,0,0,0,0,0,408.59,77.18,0,0,0,0,199.76,285.11,0,0,0,0,0,0,0,20,185.23,43.58,0,0,140.74,145.28,0,355.02,355.93,468.88,0,0,0,0,0,0,433.11,0,0,551.15,0,0,0,0,228.81,36.32,0,0,0,0,32.69,0,0,0,0,0,0,0,408.85,77.23,0,0,0,0,199.88,285.29,0,0,0,0,0,0,0,20,185.35,43.61,0,0,140.83,145.37,0,355.24,356.15,469.18,0,0,0,0,0,0,433.38,0,0,551.49,0,0,0,0,226.480304,36.34,0,0,0,0,32.71,0,0,0,3969.85,3967.37,3967.37,97445.42,97373.41,97373.52
0,0,0,0,406.73,76.83,0,0,0,0,198.85,283.81,0,0,0,0,0,0,0,20,184.38,43.38,0,0,140.1,144.62,0,353.4,354.31,466.75,0,0,0,0,0,0,431.13,0,0,548.63,0,0,0,0,227.77,36.15,0,0,0,0,32.54,0,0,0,0,0,0,0,406.54,76.79,0,0,0,0,198.75,283.68,0,0,0,0,0,0,0,20,184.3,43.36,0,0,140.03,144.55,0,353.24,354.14,466.53,0,0,0,0,0,0,430.94,0,0,548.38,0,0,0,0,227.66,36.14,0,0,0,0,32.52,0,0,0,0,0,0,0,406.73,76.83,0,0,0,0,198.85,283.81,0,0,0,0,0,0,0,20,184.38,43.38,0,0,140.1,144.62,0,353.4,354.31,466.75,0,0,0,0,0,0,431.13,0,0,548.63,0,0,0,0,227.77,36.15,0,0,0,0,30.730371,0,0,0,3949.38,3947.57,3947.57,96850.58,96798.08,96798.53
